編號,國文,英文,數學,自然,社會
1,75,71,54,79,74
2,79,82,52,54,98
3,82,67,75,97,58
4,54,98,99,64,56
5,87,64,66,71,96
6,76,63,76,83,90
7,91,77,93,70,50
8,59,88,83,79,83
9,78,57,86,60,86
10,92,56,57,70,71
11,50,55,63,96,55
12,64,75,59,67,94
13,94,75,56,51,79
14,98,93,68,56,64
15,55,60,54,53,76
16,80,93,58,89,84
17,60,99,62,73,82
18,99,84,94,67,63
19,64,70,73,75,72
20,77,54,86,89,71
21,69,83,77,61,93
22,62,70,81,99,83
23,62,62,100,77,69
24,85,53,54,75,74
25,82,61,98,67,76
26,64,74,75,62,80
27,77,90,62,57,58
28,54,82,57,88,78
29,75,92,93,56,87
30,91,84,83,92,64
31,63,91,72,74,65
32,71,92,99,51,82
33,90,61,54,87,77
34,81,70,65,98,79
35,86,73,69,99,82
36,62,70,94,66,84
37,66,60,87,95,91
38,74,71,64,70,62
39,73,78,61,88,69
40,78,72,99,67,88
41,82,77,90,50,90
42,60,50,80,90,50
43,54,60,84,83,86
44,97,93,89,89,82
45,73,50,57,91,99
46,69,73,78,75,64
47,69,100,72,93,65
48,85,70,71,58,60
49,88,52,81,76,51
50,74,52,61,89,74
